date,portfolio_value,cash_value,position_value,holding_000001.SZ,holding_000002.SZ,holding_000004.SZ,price_000001.SZ,price_000002.SZ,price_000004.SZ,pv_000001.SZ,pv_000002.SZ,pv_000004.SZ
2014/1/2,10000,10000,0,0,0,0,12.23,7.99,11.81,0,0,0
2014/1/3,10000,10000,0,0,0,0,11.93,7.84,11.8,0,0,0
2014/1/6,10000,10000,0,0,0,0,11.67,7.48,12.3,0,0,0
2014/1/7,10000,10000,0,0,0,0,11.63,7.43,12.23,0,0,0
2014/1/8,10000,8824,1176,100,0,0,11.76,7.42,12.23,1176,0,0
2014/1/9,10006,8824,1182,100,0,0,11.82,7.46,12.14,1182,0,0
2014/1/10,10006,8824,1182,100,0,0,11.82,7.38,11.32,1182,0,0
2014/1/13,9984,8824,1160,100,0,0,11.6,7.24,11.31,1160,0,0
2014/1/14,9996,8824,1172,100,0,0,11.72,7.23,11.45,1172,0,0
2014/1/15,9991,8107,1884,100,100,0,11.67,7.17,11.61,1167,717,0
2014/1/16,9995,8107,1888,100,100,0,11.69,7.19,11.5,1169,719,0
2014/1/17,9963,8107,1856,100,100,0,11.48,7.08,11.56,1148,708,0
2014/1/20,9950,8107,1843,100,100,0,11.3,7.13,11.7,1130,713,0
2014/1/21,9965,8107,1858,100,100,0,11.36,7.22,11.76,1136,722,0
2014/1/22,10048,9286,762,0,100,0,11.79,7.62,11.92,0,762,0
2014/1/23,10035,9286,749,0,100,0,11.7,7.49,11.97,0,749,0
2014/1/24,10065,9286,779,0,100,0,11.66,7.79,12.18,0,779,0
2014/1/27,10051,9286,765,0,100,0,11.39,7.65,12.3,0,765,0
2014/1/28,10050,8061,1989,0,100,100,11.5,7.64,12.25,0,764,1225
2014/1/29,10043,8061,1982,0,100,100,11.56,7.54,12.28,0,754,1228
2014/1/30,10029,8061,1968,0,100,100,11.4,7.38,12.3,0,738,1230
2014/2/7,10038,8061,1977,0,100,100,11.38,7.41,12.36,0,741,1236
2014/2/10,10072,8061,2011,0,100,100,11.57,7.51,12.6,0,751,1260
2014/2/11,10072,8061,2011,0,100,100,12,7.55,12.56,0,755,1256
2014/2/12,10106,8813,1293,0,0,100,11.94,7.52,12.93,0,0,1293
2014/2/13,10133,8813,1320,0,0,100,12.22,7.41,13.2,0,0,1320
2014/2/14,10133,8813,1320,0,0,100,12.08,7.37,13.2,0,0,1320
2014/2/17,10133,8813,1320,0,0,100,11.97,7.37,13.2,0,0,1320
2014/2/18,10133,8813,1320,0,0,100,11.66,7.27,13.2,0,0,1320
2014/2/19,10133,8813,1320,0,0,100,12,7.37,13.2,0,0,1320
2014/2/20,10133,8813,1320,0,0,100,11.76,7.32,13.2,0,0,1320
2014/2/21,10120,8813,1307,0,0,100,11.6,7.16,13.07,0,0,1307
2014/2/24,10143,7697,2446,100,0,100,11.16,6.69,13.3,1116,0,1330
2014/2/25,10262,7697,2565,100,0,100,11.02,6.57,14.63,1102,0,1463
2014/2/26,10336,7697,2639,100,0,100,11.11,6.68,15.28,1111,0,1528
2014/2/27,10271,7697,2574,100,0,100,11.24,6.59,14.5,1124,0,1450
2014/2/28,10220,9107,1113,100,0,0,11.13,6.72,14.1,1113,0,0
2014/3/3,10211,9107,1104,100,0,0,11.04,6.64,14.48,1104,0,0
2014/3/4,10205,9107,1098,100,0,0,10.98,6.92,14.03,1098,0,0
